FANTA TEAM;GIOCATORE;PREZZO ASTA;RUOLO;SQUADRA
NEVERENDING TURD;Lorenzo De Silvestri ;5;DF;TOR
PARTIZAN DEGRADO;Nicolas Nkoulou;1;DF;TOR
MATTIA TEAM V5;Salvatore Sirigu ;15;POR;TOR
AZTEKA FC;Kevin Lasagna ;1;AT;UDI
PARTIZAN DEGRADO;Rodrigo De Paul ;12;CC;UDI
LOKOMOTIV SMILLAUS;William Ekong ;1;DF;UDI
NEVERENDING TURD;Jens Stryger Larsen;1;DF;UDI
LOKOMOTIV SMILLAUS;Juan Musso ;1;POR;UDI
MATTIA TEAM V5;Mariusz Stepinski;1;AT;VER
NEVERENDING TURD;Miguel Veloso ;3;CC;VER
